unique_id,id,Date,Gender,venue,Team1,Team2,Toss_winner,decision_toss,Match_winner,player_of_match
208,524925,12/29/2011,male,Western Australia Cricket Association Ground,Perth Scorchers,Brisbane Heat,Perth Scorchers,bat,Perth Scorchers,['MJ North']
209,524926,12/30/2011,male,Stadium Australia,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,bat,Melbourne Renegades,['Shahid Afridi']
210,524927,1/1/2012,male,Bellerive Oval,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,bat,Hobart Hurricanes,['Naved-ul-Hasan']
211,524928,1/2/2012,male,Docklands Stadium,Melbourne Renegades,Sydney Sixers,Sydney Sixers,bat,Melbourne Renegades,['AB McDonald']
212,524930,1/4/2012,male,Melbourne Cricket Ground,Melbourne Stars,Perth Scorchers,Perth Scorchers,bat,Perth Scorchers,['HH Gibbs']
213,524933,1/8/2012,male,Stadium Australia,Sydney Thunder,Sydney Sixers,Sydney Sixers,bat,Sydney Sixers,['MA Starc']
214,524934,1/8/2012,male,Western Australia Cricket Association Ground,Perth Scorchers,Adelaide Strikers,Perth Scorchers,bat,Perth Scorchers,['GB Hogg']
215,524935,1/9/2012,male,Bellerive Oval,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,bat,Melbourne Stars,['LJ Wright']
216,524936,1/10/2012,male,Adelaide Oval,Adelaide Strikers,Sydney Sixers,Sydney Sixers,bat,Sydney Sixers,"[""SNJ O'Keefe""]"
217,524938,1/12/2012,male,Docklands Stadium,Melbourne Renegades,Brisbane Heat,Brisbane Heat,bat,Brisbane Heat,['DL Vettori']
218,524939,1/17/2012,male,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Sydney Thunder,Sydney Thunder,field,Brisbane Heat,['DT Christian']
219,524940,1/18/2012,male,Bellerive Oval,Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,bat,Hobart Hurricanes,['OA Shah']
220,524941,1/18/2012,male,Sydney Cricket Ground,Sydney Sixers,Perth Scorchers,Sydney Sixers,bat,Sydney Sixers,['MA Starc']
221,524942,1/19/2012,male,Melbourne Cricket Ground,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Stars,['CJ McKay']
222,524943,1/21/2012,male,Western Australia Cricket Association Ground,Perth Scorchers,Melbourne Stars,Perth Scorchers,bat,Perth Scorchers,['MR Marsh']
223,524944,1/22/2012,male,Bellerive Oval,Hobart Hurricanes,Sydney Sixers,Sydney Sixers,bat,Sydney Sixers,['NJ Maddinson']
224,524945,1/28/2012,male,Western Australia Cricket Association Ground,Perth Scorchers,Sydney Sixers,Perth Scorchers,bat,Sydney Sixers,['MC Henriques']
225,571232,12/7/2012,male,Docklands Stadium,Melbourne Renegades,Melbourne Stars,Melbourne Stars,bat,Melbourne Renegades,['AJ Finch']
226,571233,12/8/2012,male,Sydney Cricket Ground,Sydney Sixers,Sydney Thunder,Sydney Sixers,field,Sydney Sixers,['BJ Haddin']
227,571234,12/9/2012,male,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Hobart Hurricanes,Brisbane Heat,bat,Hobart Hurricanes,['TR Birt']
228,571235,12/9/2012,male,Western Australia Cricket Association Ground,Perth Scorchers,Adelaide Strikers,Perth Scorchers,bat,Adelaide Strikers,['PJ Hughes']
229,571236,12/12/2012,male,Western Australia Cricket Association Ground,Perth Scorchers,Melbourne Stars,Melbourne Stars,field,Melbourne Stars,['SL Malinga']
230,571237,12/13/2012,male,Adelaide Oval,Adelaide Strikers,Brisbane Heat,Brisbane Heat,field,Brisbane Heat,['LA Pomersbach']
231,571238,12/14/2012,male,Stadium Australia,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades,"[""AW O'Brien""]"
232,571239,12/15/2012,male,Melbourne Cricket Ground,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,field,Melbourne Stars,['CJ McKay']
233,571240,12/16/2012,male,Sydney Cricket Ground,Sydney Sixers,Perth Scorchers,Perth Scorchers,field,Perth Scorchers,['MA Beer']
