,Match_Id,Date,Gender,Venue,Team1,Team2,Toss_winner,decision_toss,Match_winner,player_of_match
238,1186490,2019-06-26,male,Kinrara Academy Oval,Maldives,Thailand,Thailand,bat,Maldives,['MNR Cooray']
239,1186491,2019-06-27,male,Kinrara Academy Oval,Malaysia,Thailand,Thailand,bat,Malaysia,['Anwar Rahman']
240,1186492,2019-06-28,male,Kinrara Academy Oval,Malaysia,Maldives,Malaysia,bat,no result,['Anwar Rahman']
241,1186493,2019-06-29,male,Kinrara Academy Oval,Maldives,Thailand,Thailand,field,Thailand,['N Pathan']
242,1187005,2019-09-18,male,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,South Africa,India,field,India,['V Kohli']
243,1187006,2019-09-22,male,M.Chinnaswamy Stadium,India,South Africa,India,bat,South Africa,['BE Hendricks']
244,1187013,2019-11-03,male,Arun Jaitley Stadium,India,Bangladesh,Bangladesh,field,Bangladesh,['Mushfiqur Rahim']
245,1187014,2019-11-07,male,Saurashtra Cricket Association Stadium,India,Bangladesh,India,field,India,['RG Sharma']
246,1187015,2019-11-10,male,"Vidarbha Cricket Association Stadium, Jamtha",India,Bangladesh,Bangladesh,field,India,['DL Chahar']
247,1187018,2019-12-06,male,"Rajiv Gandhi International Stadium, Uppal",India,West Indies,India,field,India,['V Kohli']
248,1187019,2019-12-08,male,Greenfield International Stadium,India,West Indies,West Indies,field,West Indies,['LMP Simmons']
249,1187020,2019-12-11,male,Wankhede Stadium,India,West Indies,West Indies,field,India,['KL Rahul']
250,1187665,2019-11-01,male,Hagley Oval,New Zealand,England,England,field,England,['JM Vince']
251,1187666,2019-11-03,male,Westpac Stadium,New Zealand,England,England,field,New Zealand,['MJ Santner']
252,1187667,2019-11-05,male,Saxton Oval,New Zealand,England,New Zealand,bat,New Zealand,['C de Grandhomme']
253,1187668,2019-11-08,male,McLean Park,New Zealand,England,New Zealand,field,England,['DJ Malan']
254,1187669,2019-11-10,male,Eden Park,New Zealand,England,England,field,no result,['JM Bairstow']
255,1187677,2020-01-24,male,Eden Park,New Zealand,India,India,field,India,['SS Iyer']
256,1187678,2020-01-26,male,Eden Park,New Zealand,India,New Zealand,bat,India,['KL Rahul']
257,1187679,2020-01-29,male,Seddon Park,New Zealand,India,New Zealand,field,no result,['RG Sharma']
258,1187680,2020-01-31,male,Westpac Stadium,New Zealand,India,New Zealand,field,no result,['SN Thakur']
259,1187681,2020-02-02,male,Bay Oval,New Zealand,India,India,bat,India,['JJ Bumrah']
260,1187717,2020-02-02,female,Bay Oval,New Zealand,South Africa,New Zealand,field,New Zealand,['JJ Bumrah']
261,1187718,2020-02-06,female,Seddon Park,New Zealand,South Africa,New Zealand,field,New Zealand,['JJ Bumrah']
262,1187719,2020-02-09,female,Basin Reserve,New Zealand,South Africa,New Zealand,bat,South Africa,['JJ Bumrah']
263,1187720,2020-02-10,female,Basin Reserve,New Zealand,South Africa,South Africa,field,New Zealand,['JJ Bumrah']
264,1188379,2019-06-23,male,Hazelaarweg,Netherlands,Zimbabwe,Zimbabwe,field,Netherlands,['JJ Bumrah']
265,1188380,2019-06-25,male,Hazelaarweg,Netherlands,Zimbabwe,Netherlands,bat,no result,['JJ Bumrah']
266,1188621,2019-08-03,male,Central Broward Regional Park Stadium Turf Ground,India,West Indies,India,field,India,['NA Saini']
267,1188622,2019-08-04,male,Central Broward Regional Park Stadium Turf Ground,India,West Indies,India,bat,India,['KH Pandya']
268,1188623,2019-08-06,male,"Providence Stadium, Guyana",West Indies,India,India,field,India,['DL Chahar']
269,1188784,2019-06-19,female,Gahanga International Cricket Stadium. Rwanda,Rwanda,Uganda,Uganda,bat,Uganda,['R Musamali']
270,1188785,2019-06-18,female,Gahanga International Cricket Stadium. Rwanda,Rwanda,Mali,Mali,bat,Rwanda,['J Nyirankundineza']
271,1188786,2019-06-18,female,Gahanga International Cricket Stadium. Rwanda,Tanzania,Uganda,Tanzania,bat,Tanzania,['M Pascal']
272,1189743,2019-06-20,male,King George V Sports Ground,Guernsey,Denmark,Denmark,field,Guernsey,['ND Laegsgaard']
273,1189744,2019-06-20,male,King George V Sports Ground,Denmark,Italy,Denmark,bat,Denmark,['Zishan Shah']
274,1190605,2019-06-26,female,La Manga Club Top Ground,Netherlands,Scotland,Scotland,field,Netherlands,['Zishan Shah']
275,1190606,2019-06-27,female,La Manga Club Top Ground,Germany,Netherlands,Germany,field,Netherlands,['Zishan Shah']
276,1190607,2019-06-27,female,La Manga Club Top Ground,Netherlands,Scotland,Netherlands,field,no result,['Zishan Shah']
277,1190608,2019-06-29,female,La Manga Club Top Ground,Germany,Scotland,Germany,field,Scotland,['Zishan Shah']
278,1190744,2019-08-08,female,Sportpark Het Schootsveld,Netherlands,Ireland,Netherlands,field,Ireland,['Zishan Shah']
279,1190746,2019-08-09,female,Sportpark Het Schootsveld,Netherlands,Scotland,Netherlands,bat,Scotland,['Zishan Shah']
280,1190747,2019-08-09,female,Sportpark Het Schootsveld,Ireland,Thailand,Ireland,field,Thailand,['Zishan Shah']
281,1190749,2019-08-10,female,Sportpark Het Schootsveld,Ireland,Scotland,Scotland,bat,Scotland,['Zishan Shah']
282,1190750,2019-08-12,female,Sportpark Het Schootsveld,Scotland,Thailand,Scotland,field,Scotland,['Zishan Shah']
